Feature_Interval,Feature_Interval_Order,Dataset,Dataset_File,OpenML_ID,Oversampler,Stage,MajorityCount,MinorityCount,Generated_Samples
10 < Features <= 30,2,CPU small,cpu_small,735,ADASYN,After OS,5728.75,5672.5085,3195.5085
10 < Features <= 30,2,CPU small,cpu_small,735,ADASYN,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o ADASYN Linear,After OS,4428.0,2725.75,248.75
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o ADASYN Linear,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o ADASYN RBF,After OS,4428.0,2558.2484,81.2484
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o ADASYN RBF,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o Clustering Linear,After OS,5715.0,3005.7486,528.7486
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o Clustering Linear,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o Clustering RBF,After OS,5715.0,2975.2524,498.2524
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o Clustering RBF,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o SVM,After OS,4428.0,4384.2552,1907.2552
10 < Features <= 30,2,CPU small,cpu_small,735,BSSMOTE w/o SVM,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,BorderlineSMOTE,After OS,5715.0,5715.0003,3238.0003
10 < Features <= 30,2,CPU small,cpu_small,735,BorderlineSMOTE,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,Full BSSMOTE Linear,After OS,4428.0,2668.2505,191.2505
10 < Features <= 30,2,CPU small,cpu_small,735,Full BSSMOTE Linear,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,Full BSSMOTE RBF,After OS,4428.0,2729.2494,252.2494
10 < Features <= 30,2,CPU small,cpu_small,735,Full BSSMOTE RBF,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,KMeansSMOTE,After OS,5717.5,5715.0003,3238.0003
10 < Features <= 30,2,CPU small,cpu_small,735,KMeansSMOTE,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,None,After OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,None,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,SMOTE,After OS,5715.0,5715.0003,3238.0003
10 < Features <= 30,2,CPU small,cpu_small,735,SMOTE,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,CPU small,cpu_small,735,SVMSMOTE,After OS,5715.0,5715.0003,3238.0003
10 < Features <= 30,2,CPU small,cpu_small,735,SVMSMOTE,Before OS,5715.0,2477.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,ADASYN,After OS,3715.0001,3704.7084,3646.7084
10 < Features <= 30,2,Diabetes (DIS),dis,40713,ADASYN,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o ADASYN Linear,After OS,2588.2491,64.2507,6.2507
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o ADASYN Linear,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o ADASYN RBF,After OS,2588.2491,61.2461,3.2461
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o ADASYN RBF,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o Clustering Linear,After OS,3714.0,423.2927,365.2927
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o Clustering Linear,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o Clustering RBF,After OS,3714.0,241.0246,183.0246
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o Clustering RBF,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o SVM,After OS,2594.7483,2586.8537,2528.8537
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BSSMOTE w/o SVM,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BorderlineSMOTE,After OS,3714.0,3714.4144,3656.4144
10 < Features <= 30,2,Diabetes (DIS),dis,40713,BorderlineSMOTE,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,Full BSSMOTE Linear,After OS,2588.2491,312.2932,254.2932
10 < Features <= 30,2,Diabetes (DIS),dis,40713,Full BSSMOTE Linear,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,Full BSSMOTE RBF,After OS,2588.2491,147.6988,89.6988
10 < Features <= 30,2,Diabetes (DIS),dis,40713,Full BSSMOTE RBF,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,KMeansSMOTE,After OS,3714.75,3714.4144,3656.4144
10 < Features <= 30,2,Diabetes (DIS),dis,40713,KMeansSMOTE,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,None,After OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,None,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,SMOTE,After OS,3714.0,3714.4144,3656.4144
10 < Features <= 30,2,Diabetes (DIS),dis,40713,SMOTE,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,SVMSMOTE,After OS,3714.0,2725.8927,2667.8927
10 < Features <= 30,2,Diabetes (DIS),dis,40713,SVMSMOTE,Before OS,3714.0,58.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,ADASYN,After OS,11500.0005,11458.5,6328.5
10 < Features <= 30,2,Elevators,elevators,846,ADASYN,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN Linear,After OS,9149.9999,5151.25,21.25
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN Linear,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN RBF,After OS,9149.9999,5537.5,407.5
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN RBF,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering Linear,After OS,11469.0,5386.25,256.25
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering Linear,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering RBF,After OS,11469.0,5929.75,799.75
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering RBF,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o SVM,After OS,9149.9999,8840.0,3710.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o SVM,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BorderlineSMOTE,After OS,11469.0,11469.0,6339.0
10 < Features <= 30,2,Elevators,elevators,846,BorderlineSMOTE,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE Linear,After OS,9149.9999,5501.5,371.5
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE Linear,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE RBF,After OS,9149.9999,5655.75,525.75
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE RBF,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,KMeansSMOTE,After OS,11470.0,11469.0,6339.0
