Dataset,Dataset_File,OpenML_ID,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,SVM_Kernel,Noise_Scale,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,linear,0.0,0.3094,0.3881,0.2765,0.5267,20.8,20.8,120.2,-99.4,0.104,5.1587
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,linear,0.01,0.3094,0.3881,0.2765,0.5267,20.8,20.8,120.2,-99.4,0.0972,4.8124
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,linear,0.05,0.3094,0.3881,0.2765,0.5267,20.8,20.8,120.2,-99.4,0.8538,40.4113
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,linear,0.1,0.3094,0.3881,0.2765,0.5267,20.8,20.8,120.2,-99.4,0.1616,7.9329
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,rbf,0.0,0.312,0.399,0.2838,0.5313,19.8,19.8,120.2,-100.4,0.1603,7.7715
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,rbf,0.01,0.3076,0.3879,0.2769,0.5239,19.8,19.8,120.2,-100.4,0.3023,15.1638
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,rbf,0.05,0.3143,0.3994,0.2807,0.5322,19.8,19.8,120.2,-100.4,0.1134,5.79
Blood-transfusion,blood-transfusion-service-center,1464,4,3.2022,Low,Features <= 10,1,rbf,0.1,0.3161,0.3994,0.2813,0.5327,19.8,19.8,120.2,-100.4,0.121,6.0747
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,linear,0.0,0.7156,0.8962,0.6727,0.8703,153.0,153.0,1029.6,-876.6,1.1104,7.284
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,linear,0.01,0.7156,0.8962,0.6727,0.8703,153.0,153.0,1029.6,-876.6,2.4121,15.7376
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,linear,0.05,0.7155,0.8958,0.6725,0.8701,153.0,153.0,1029.6,-876.6,1.3055,8.4362
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,linear,0.1,0.7155,0.8958,0.6725,0.8701,153.0,153.0,1029.6,-876.6,0.3225,2.1093
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,rbf,0.0,0.7169,0.8934,0.6728,0.8698,201.8,201.8,1029.6,-827.8,0.5991,2.9864
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,rbf,0.01,0.7156,0.8995,0.6741,0.8717,201.8,201.8,1029.6,-827.8,1.208,5.8237
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,rbf,0.05,0.713,0.8987,0.6713,0.8703,201.8,201.8,1029.6,-827.8,0.5963,2.9736
CPU small,cpu_small,735,12,2.3072,Low,10 < Features <= 30,2,rbf,0.1,0.7027,0.9027,0.6637,0.8678,201.8,201.8,1029.6,-827.8,0.5828,2.9026
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,linear,0.0,0.9225,0.98,0.9058,0.9851,103.4,103.4,137.8,-34.4,0.1546,2.0618
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,linear,0.01,0.9181,0.98,0.9013,0.9849,103.4,103.4,137.8,-34.4,0.7299,8.7321
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,linear,0.05,0.9225,0.98,0.9058,0.9851,103.4,103.4,137.8,-34.4,0.1438,1.9502
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,linear,0.1,0.9225,0.98,0.9058,0.9851,103.4,103.4,137.8,-34.4,0.1471,2.1976
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,rbf,0.0,0.9337,0.965,0.9046,0.9784,72.0,72.0,137.8,-65.8,0.1985,4.5745
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,rbf,0.01,0.9337,0.965,0.9046,0.9784,72.0,72.0,137.8,-65.8,0.1758,4.1633
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,rbf,0.05,0.9249,0.96,0.8919,0.9754,72.0,72.0,137.8,-65.8,0.1573,3.6322
Mfeat-fourier,mfeat-fourier,971,76,9.0,Medium,Features > 30,3,rbf,0.1,0.9293,0.96,0.8959,0.9756,72.0,72.0,137.8,-65.8,0.2248,4.1272
