Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.0,0.75,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.3419063091278076,17.995068901463558,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.0,0.75,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.20128560066223145,9.585028602963401,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.0,0.75,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.4550178050994873,19.783382830412492,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.0,0.75,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.39032983779907227,18.587135133289156,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.0,0.75,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.5116939544677734,25.584697723388672,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.01,0.75,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.03834700584411621,2.0182634654798006,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.01,0.75,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.03831219673156738,1.8243903205508278,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.01,0.75,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.037340641021728516,1.6235061313795007,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.01,0.75,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.04494142532348633,2.140067872546968,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.01,0.75,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.03717613220214844,1.8588066101074219,success,
