Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.05,0.25,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.04119086265563965,2.167940139770508,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.05,0.25,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.04143357276916504,1.973027274722145,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.05,0.25,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.044971466064453125,1.9552811332370925,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.05,0.25,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.04483222961425781,2.1348680768694197,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.05,0.25,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.050045013427734375,2.5022506713867188,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.05,0.5,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.04121899604797363,2.1694208446301912,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.05,0.5,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.040909528732299805,1.9480727967761813,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.05,0.5,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.043206214904785156,1.878531082816746,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.05,0.5,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.04294085502624512,2.0448026202973866,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.05,0.5,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.07938790321350098,3.9693951606750484,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.05,0.75,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.03968453407287598,2.088659688046104,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.05,0.75,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.0404658317565918,1.926944369361514,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.05,0.75,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.04155421257019043,1.8067048943561055,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.05,0.75,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.04186201095581055,1.9934290931338354,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.05,0.75,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.03967571258544922,1.983785629272461,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.05,1.0,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.04033017158508301,2.122640609741211,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.05,1.0,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.04016566276550293,1.9126506078810919,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.05,1.0,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.03856945037841797,1.6769326251486072,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.05,1.0,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.04145097732543945,1.9738560631161646,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.05,1.0,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.0378875732421875,1.894378662109375,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.05,1.25,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.040008544921875,2.105712890625,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.05,1.25,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.04335141181945801,2.0643529437837147,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.05,1.25,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.044231414794921875,1.9231049910835598,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.05,1.25,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.044593095779418945,2.123480751400902,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.05,1.25,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.0418095588684082,2.09047794342041,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,linear,0.05,1.5,0.34,0.4722222222222222,0.3010230363555172,0.5792463342909246,19,19,117,-98,0.04085731506347656,2.1503850033408716,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,linear,0.05,1.5,0.325,0.3611111111111111,0.2879647623028869,0.524961708433708,21,21,122,-101,0.04409193992614746,2.0996161869594028,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,linear,0.05,1.5,0.3,0.25,0.263564858439702,0.4516053237297504,23,23,107,-84,0.0422358512878418,1.8363413603409475,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,linear,0.05,1.5,0.3269230769230769,0.4857142857142857,0.2826253885941228,0.5801650443595701,21,21,118,-97,0.04170584678649902,1.985992704119001,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,linear,0.05,1.5,0.2549019607843137,0.37142857142857144,0.24711408592856046,0.49761335152811925,20,20,137,-117,0.03811311721801758,1.905655860900879,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,0.25,0.36363636363636365,0.5555555555555556,0.33279833872619,0.620475828224844,7,7,117,-110,0.04725241661071777,6.750345230102539,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,0.25,0.36363636363636365,0.3333333333333333,0.316078110036472,0.5214689104456789,3,3,122,-119,0.04644465446472168,15.48155148824056,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.05,0.25,0.36666666666666664,0.3055555555555556,0.2918985776128633,0.5046083923495819,4,4,107,-103,0.045593976974487305,11.398494243621826,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.05,0.25,0.36,0.5142857142857142,0.3066658137952508,0.6082144457591213,9,9,118,-109,0.04852938652038574,5.392154057820638,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,0.25,0.24528301886792453,0.37142857142857144,0.24198666934863433,0.49102215519488585,10,10,137,-127,0.0442957878112793,4.42957878112793,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,0.5,0.3620689655172414,0.5833333333333334,0.3351601426123092,0.6276988513237988,14,14,117,-103,0.04641437530517578,3.31531252179827,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,0.5,0.3548387096774194,0.3055555555555556,0.3014039331383267,0.5019455326415322,8,8,122,-114,0.04766035079956055,5.957543849945068,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.05,0.5,0.36666666666666664,0.3055555555555556,0.2918985776128633,0.5046083923495819,11,11,107,-96,0.04819655418395996,4.381504925814542,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.05,0.5,0.3673469387755102,0.5142857142857142,0.3114825321085939,0.6119118320686109,14,14,118,-104,0.046235084533691406,3.3025060381208147,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,0.5,0.24528301886792453,0.37142857142857144,0.24198666934863433,0.49102215519488585,17,17,137,-120,0.04518485069274902,2.657932393691119,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,0.75,0.3157894736842105,0.5,0.29610466923558953,0.5735393346764044,24,24,117,-93,0.07084107398986816,2.951711416244507,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,0.75,0.34375,0.3055555555555556,0.2961821529735471,0.49926847071285524,14,14,122,-108,0.04642820358276367,3.316300255911691,success,
