Feature_Interval,Feature_Interval_Order,Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Oversampler,Before_Majority,Before_Minority,Synthetic_Generated,Total_Time_s,Time_per_sample_ms,Success_Rate
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,ADASYN,4572.0,1981.6,2556.4,0.2342,0.0915,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,BSSMOTE w/o ADASYN Linear,4572.0,1981.6,199.0,0.3407,1.7123,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,BSSMOTE w/o ADASYN RBF,4572.0,1981.6,65.0,0.8719,14.24,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,BSSMOTE w/o Clustering Linear,4572.0,1981.6,423.0,0.2599,0.6184,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,BSSMOTE w/o Clustering RBF,4572.0,1981.6,398.6,0.9015,2.2669,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,BSSMOTE w/o SVM,4572.0,1981.6,1525.8,0.523,0.3466,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,BorderlineSMOTE,4572.0,1981.6,2590.4,0.2069,0.0799,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,Full BSSMOTE Linear,4572.0,1981.6,153.0,0.9285,6.0158,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,Full BSSMOTE RBF,4572.0,1981.6,201.8,0.8188,4.077,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,KMeansSMOTE,4572.0,1981.6,2590.4,0.1129,0.0436,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,None,4572.0,1981.6,0.0,0.0011,,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,SMOTE,4572.0,1981.6,2590.4,0.088,0.034,1.0
10 < Features <= 30,2,CPU small,cpu_small,735,8192,12,2.3072,Low,SVMSMOTE,4572.0,1981.6,2590.4,0.657,0.2537,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,ADASYN,2971.2,46.4,2917.0,0.0111,0.0038,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,BSSMOTE w/o ADASYN Linear,2971.2,46.4,5.0,0.1003,20.0548,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,BSSMOTE w/o ADASYN RBF,2971.2,46.4,2.6,0.2215,145.7006,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,BSSMOTE w/o Clustering Linear,2971.2,46.4,292.2,0.0307,0.1051,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,BSSMOTE w/o Clustering RBF,2971.2,46.4,146.4,0.1011,0.6907,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,BSSMOTE w/o SVM,2971.2,46.4,2022.8,0.2359,0.1165,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,BorderlineSMOTE,2971.2,46.4,2924.8,0.0111,0.0038,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,Full BSSMOTE Linear,2971.2,46.4,203.4,0.1124,0.553,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,Full BSSMOTE RBF,2971.2,46.4,72.0,0.1585,4.7824,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,KMeansSMOTE,2971.2,46.4,2924.8,0.1106,0.0378,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,None,2971.2,46.4,0.0,0.0014,,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,SMOTE,2971.2,46.4,2924.8,0.0097,0.0033,1.0
10 < Features <= 30,2,Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,SVMSMOTE,2971.2,46.4,2135.2,0.063,0.032,1.0
