Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.3514,0.8667,0.3065,0.9198,39,39.0,847.0,-808.0,0.9397,24.0939,24.0939,0.0441,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.4286,0.8,0.7768,0.8873,39,39.0,847.0,-808.0,0.9397,24.0939,24.0939,0.6249,0.0217,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.5,0.8,0.8108,0.8891,39,39.0,847.0,-808.0,0.9397,24.0939,24.0939,0.1597,0.0173,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.3667,0.7333,0.2728,0.8482,480,480.0,847.0,-367.0,1.0218,2.1288,2.1288,0.0759,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.4483,0.8667,0.7935,0.9235,480,480.0,847.0,-367.0,1.0218,2.1288,2.1288,0.8525,0.0238,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.4062,0.8667,0.8337,0.9221,480,480.0,847.0,-367.0,1.0218,2.1288,2.1288,0.4141,0.015,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.7857,0.7333,0.5801,0.8551,43,43.0,0.0,43.0,0.0212,0.4922,0.4922,0.0514,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.9167,0.7333,0.8092,0.8559,43,43.0,0.0,43.0,0.0212,0.4922,0.4922,0.819,0.0227,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.9167,0.7333,0.7914,0.8559,43,43.0,0.0,43.0,0.0212,0.4922,0.4922,0.1936,0.0169,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.5714,0.5333,0.3116,0.7281,466,466.0,0.0,466.0,0.08,0.1717,0.1717,0.0857,0.0014,success,success,42
