Dataset,OpenML_ID,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s
Mfeat-fourier,971,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9198 ± 0.0348,0.9650 ± 0.0285,0.8914 ± 0.0474,0.9776 ± 0.0152,7.8000 ± 5.5408,1.0797 ± 0.3889
Mfeat-fourier,971,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9988 ± 0.0016,0.9921 ± 0.0119,7.8000 ± 5.5408,1.0797 ± 0.3889
Mfeat-fourier,971,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9995 ± 0.0010,0.9848 ± 0.0106,7.8000 ± 5.5408,1.0797 ± 0.3889
Mfeat-fourier,971,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9151 ± 0.0345,0.9600 ± 0.0335,0.8827 ± 0.0479,0.9747 ± 0.0175,2.4000 ± 3.1305,0.1986 ± 0.1231
Mfeat-fourier,971,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9986 ± 0.0019,0.9921 ± 0.0119,2.4000 ± 3.1305,0.1986 ± 0.1231
Mfeat-fourier,971,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,1.0000 ± 0.0000,0.9650 ± 0.0285,0.9996 ± 0.0005,0.9823 ± 0.0145,2.4000 ± 3.1305,0.1986 ± 0.1231
Mfeat-fourier,971,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9604 ± 0.0453,0.9550 ± 0.0512,0.9227 ± 0.0754,0.9748 ± 0.0277,88.8000 ± 85.6896,0.0150 ± 0.0043
Mfeat-fourier,971,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9992 ± 0.0012,0.9921 ± 0.0119,88.8000 ± 85.6896,0.0150 ± 0.0043
Mfeat-fourier,971,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,1.0000 ± 0.0000,0.9600 ± 0.0285,0.9995 ± 0.0007,0.9797 ± 0.0145,88.8000 ± 85.6896,0.0150 ± 0.0043
Mfeat-fourier,971,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9568 ± 0.0308,0.9650 ± 0.0285,0.9263 ± 0.0188,0.9798 ± 0.0132,99.2000 ± 90.7342,0.0570 ± 0.0321
Mfeat-fourier,971,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.9800 ± 0.0209,0.9985 ± 0.0023,0.9899 ± 0.0106,99.2000 ± 90.7342,0.0570 ± 0.0321
Mfeat-fourier,971,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106,99.2000 ± 90.7342,0.0570 ± 0.0321
Mfeat-fourier,971,DT,BSSMOTE w/o SVM,w/o SVM,--,0.9471 ± 0.0658,0.9850 ± 0.0137,0.9339 ± 0.0572,0.9891 ± 0.0047,914.6000 ± 511.2805,0.1345 ± 0.0115
Mfeat-fourier,971,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9767 ± 0.0394,0.9850 ± 0.0224,0.9970 ± 0.0058,0.9910 ± 0.0112,914.6000 ± 511.2805,0.1345 ± 0.0115
Mfeat-fourier,971,RF,BSSMOTE w/o SVM,w/o SVM,--,1.0000 ± 0.0000,0.9600 ± 0.0379,0.9997 ± 0.0008,0.9796 ± 0.0195,914.6000 ± 511.2805,0.1345 ± 0.0115
Mfeat-fourier,971,DT,CTGAN,Deep Tabular,--,0.9475 ± 0.0383,0.9550 ± 0.0512,0.9086 ± 0.0420,0.9739 ± 0.0252,1280.0000 ± 0.0000,25.1383 ± 4.3373
Mfeat-fourier,971,LightGBM,CTGAN,Deep Tabular,--,0.9949 ± 0.0114,0.9800 ± 0.0209,0.9985 ± 0.0033,0.9896 ± 0.0111,1280.0000 ± 0.0000,25.1383 ± 4.3373
Mfeat-fourier,971,RF,CTGAN,Deep Tabular,--,1.0000 ± 0.0000,0.9750 ± 0.0177,0.9987 ± 0.0018,0.9874 ± 0.0089,1280.0000 ± 0.0000,25.1383 ± 4.3373
Mfeat-fourier,971,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9225 ± 0.0473,0.9800 ± 0.0326,0.9058 ± 0.0480,0.9851 ± 0.0159,103.4000 ± 81.7239,0.1394 ± 0.0137
Mfeat-fourier,971,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9851 ± 0.0223,0.9800 ± 0.0209,0.9985 ± 0.0020,0.9891 ± 0.0113,103.4000 ± 81.7239,0.1394 ± 0.0137
Mfeat-fourier,971,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106,103.4000 ± 81.7239,0.1394 ± 0.0137
Mfeat-fourier,971,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9249 ± 0.0459,0.9600 ± 0.0224,0.8919 ± 0.0474,0.9753 ± 0.0115,72.0000 ± 71.7530,0.1635 ± 0.0251
Mfeat-fourier,971,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9950 ± 0.0112,0.9800 ± 0.0209,0.9986 ± 0.0017,0.9896 ± 0.0107,72.0000 ± 71.7530,0.1635 ± 0.0251
Mfeat-fourier,971,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,1.0000 ± 0.0000,0.9750 ± 0.0177,0.9997 ± 0.0008,0.9874 ± 0.0089,72.0000 ± 71.7530,0.1635 ± 0.0251
Mfeat-fourier,971,DT,TVAE,Deep Tabular,--,0.9519 ± 0.0310,0.9550 ± 0.0371,0.9128 ± 0.0187,0.9743 ± 0.0174,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-fourier,971,LightGBM,TVAE,Deep Tabular,--,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9952 ± 0.0098,0.9921 ± 0.0119,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-fourier,971,RF,TVAE,Deep Tabular,--,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-karhunen,1020,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8525 ± 0.0666,0.7850 ± 0.0335,0.6911 ± 0.0640,0.8789 ± 0.0195,10.8000 ± 7.2595,0.3296 ± 0.5020
