Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.9198,0.0348,0.965,0.0285,0.8914,0.0474,0.9776,0.0152,7.8,5.5408,1.0797,0.3889,206.3199,132.6623,0.1279,0.0141
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.9949,0.0114,0.985,0.0224,0.9988,0.0016,0.9921,0.0119,7.8,5.5408,1.0797,0.3889,206.3199,132.6623,0.7352,0.1503
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,1.0,0.0,0.97,0.0209,0.9995,0.001,0.9848,0.0106,7.8,5.5408,1.0797,0.3889,206.3199,132.6623,0.8662,0.1171
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.9151,0.0345,0.96,0.0335,0.8827,0.0479,0.9747,0.0175,2.4,3.1305,0.1986,0.1231,173.501,147.5558,0.1013,0.0111
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.9949,0.0114,0.985,0.0224,0.9986,0.0019,0.9921,0.0119,2.4,3.1305,0.1986,0.1231,173.501,147.5558,0.6715,0.0141
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,1.0,0.0,0.965,0.0285,0.9996,0.0005,0.9823,0.0145,2.4,3.1305,0.1986,0.1231,173.501,147.5558,0.7685,0.0148
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.9604,0.0453,0.955,0.0512,0.9227,0.0754,0.9748,0.0277,88.8,85.6896,0.015,0.0043,0.2878,0.2988,0.1014,0.0192
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.9949,0.0114,0.985,0.0224,0.9992,0.0012,0.9921,0.0119,88.8,85.6896,0.015,0.0043,0.2878,0.2988,0.8424,0.1589
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,1.0,0.0,0.96,0.0285,0.9995,0.0007,0.9797,0.0145,88.8,85.6896,0.015,0.0043,0.2878,0.2988,0.8692,0.0821
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.9568,0.0308,0.965,0.0285,0.9263,0.0188,0.9798,0.0132,99.2,90.7342,0.057,0.0321,0.8113,0.633,0.115,0.0234
