Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,CTGAN,Deep Tabular,--,DT,0.9302,1.0,0.9302,0.9958,1280,32.8602,25.6721,25.6721,0.1819,0.0007,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,CTGAN,Deep Tabular,--,RF,1.0,0.975,1.0,0.9874,1280,32.8602,25.6721,25.6721,1.6293,0.0316,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,CTGAN,Deep Tabular,--,LightGBM,1.0,1.0,1.0,1.0,1280,32.8602,25.6721,25.6721,0.8076,0.0095,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,TVAE,Deep Tabular,--,DT,0.9286,0.975,0.9079,0.9833,1280,15.3859,12.0202,12.0202,0.1703,0.0007,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,TVAE,Deep Tabular,--,RF,1.0,0.975,1.0,0.9874,1280,15.3859,12.0202,12.0202,1.293,0.0163,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,TVAE,Deep Tabular,--,LightGBM,1.0,1.0,1.0,1.0,1280,15.3859,12.0202,12.0202,1.23,0.0129,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,CTGAN,Deep Tabular,--,DT,0.9231,0.9,0.8408,0.9447,1280,22.6436,17.6903,17.6903,0.1824,0.0009,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,CTGAN,Deep Tabular,--,RF,1.0,0.95,0.9967,0.9747,1280,22.6436,17.6903,17.6903,1.4949,0.0166,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,CTGAN,Deep Tabular,--,LightGBM,0.9744,0.95,0.9926,0.9733,1280,22.6436,17.6903,17.6903,0.8737,0.0091,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,TVAE,Deep Tabular,--,DT,0.973,0.9,0.8857,0.9474,1280,14.7507,11.524,11.524,0.1516,0.0007,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,TVAE,Deep Tabular,--,RF,1.0,0.95,1.0,0.9747,1280,14.7507,11.524,11.524,1.2875,0.0164,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,TVAE,Deep Tabular,--,LightGBM,0.9744,0.95,0.9982,0.9733,1280,14.7507,11.524,11.524,0.87,0.0091,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,CTGAN,Deep Tabular,--,DT,1.0,0.9,0.91,0.9487,1280,23.0467,18.0052,18.0052,0.169,0.0007,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,CTGAN,Deep Tabular,--,RF,1.0,0.975,1.0,0.9874,1280,23.0467,18.0052,18.0052,1.5426,0.0168,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,CTGAN,Deep Tabular,--,LightGBM,1.0,0.975,1.0,0.9874,1280,23.0467,18.0052,18.0052,0.8329,0.0087,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,TVAE,Deep Tabular,--,DT,0.9744,0.95,0.9306,0.9733,1280,15.0461,11.7548,11.7548,0.1531,0.0008,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,TVAE,Deep Tabular,--,RF,1.0,0.95,1.0,0.9747,1280,15.0461,11.7548,11.7548,1.2604,0.0192,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,TVAE,Deep Tabular,--,LightGBM,1.0,1.0,1.0,1.0,1280,15.0461,11.7548,11.7548,0.7742,0.0091,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,CTGAN,Deep Tabular,--,DT,0.975,0.975,0.9531,0.986,1280,23.3405,18.2347,18.2347,0.2013,0.0007,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,CTGAN,Deep Tabular,--,RF,1.0,0.975,0.9967,0.9874,1280,23.3405,18.2347,18.2347,1.6667,0.0169,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,CTGAN,Deep Tabular,--,LightGBM,1.0,0.975,1.0,0.9874,1280,23.3405,18.2347,18.2347,0.8588,0.0105,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,TVAE,Deep Tabular,--,DT,0.9744,0.95,0.9306,0.9733,1280,15.2819,11.939,11.939,0.1587,0.0007,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,TVAE,Deep Tabular,--,RF,1.0,0.975,0.9983,0.9874,1280,15.2819,11.939,11.939,1.2675,0.017,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,TVAE,Deep Tabular,--,LightGBM,1.0,0.975,0.9778,0.9874,1280,15.2819,11.939,11.939,0.8244,0.0089,success,success,42
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,CTGAN,Deep Tabular,--,DT,0.9091,1.0,0.9091,0.9944,1280,23.8006,18.5942,18.5942,0.2245,0.0007,success,success,42
