Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,DT,0.9475,0.0383,0.955,0.0512,0.9086,0.042,0.9739,0.0252,1280.0,0.0,25.1383,4.3373,19.6393,3.3885,0.1918,0.0216
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,LightGBM,0.9949,0.0114,0.98,0.0209,0.9985,0.0033,0.9896,0.0111,1280.0,0.0,25.1383,4.3373,19.6393,3.3885,0.8421,0.0254
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,RF,1.0,0.0,0.975,0.0177,0.9987,0.0018,0.9874,0.0089,1280.0,0.0,25.1383,4.3373,19.6393,3.3885,1.597,0.0746
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,DT,0.9519,0.031,0.955,0.0371,0.9128,0.0187,0.9743,0.0174,1280.0,0.0,15.2085,0.3198,11.8816,0.2498,0.1622,0.0113
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,LightGBM,0.9949,0.0114,0.985,0.0224,0.9952,0.0098,0.9921,0.0119,1280.0,0.0,15.2085,0.3198,11.8816,0.2498,0.9028,0.1861
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,RF,1.0,0.0,0.97,0.0209,0.9997,0.0008,0.9848,0.0106,1280.0,0.0,15.2085,0.3198,11.8816,0.2498,1.284,0.0205
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,DT,0.7498,0.0564,0.84,0.084,0.6487,0.0936,0.9012,0.048,1280.0,0.0,19.8632,0.8106,15.5181,0.6333,0.3454,0.0928
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,LightGBM,0.9786,0.0218,0.92,0.0737,0.9802,0.0169,0.9575,0.0394,1280.0,0.0,19.8632,0.8106,15.5181,0.6333,0.8103,0.1197
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,RF,0.9892,0.0148,0.87,0.0818,0.9848,0.0083,0.9314,0.0451,1280.0,0.0,19.8632,0.8106,15.5181,0.6333,2.6292,0.5017
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,DT,0.8538,0.0368,0.835,0.0627,0.7291,0.0526,0.9058,0.0329,1280.0,0.0,13.9718,0.3901,10.9155,0.3048,0.2365,0.0446
