Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,32.8602,25.6721,25.6721
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,15.3859,12.0202,12.0202
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,22.6436,17.6903,17.6903
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,14.7507,11.524,11.524
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,23.0467,18.0052,18.0052
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,15.0461,11.7548,11.7548
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,23.3405,18.2347,18.2347
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,15.2819,11.939,11.939
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,23.8006,18.5942,18.5942
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,1440,160,1440,1440,1280,15.5777,12.1701,12.1701
