Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,None,None,--,DT,0.2727,0.1765,0.2739,0.3809,0,0,0,0,0.0038,,,0.0086,0.0008,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,None,None,--,RF,0.5455,0.3529,0.4965,0.5601,0,0,0,0,0.0038,,,0.5864,0.0597,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,None,None,--,LightGBM,0.5,0.3529,0.5088,0.5531,0,0,0,0,0.0038,,,0.0899,0.0095,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,SMOTE,Baseline,--,DT,0.4375,0.4118,0.3414,0.5739,116,116,0,116,0.005,0.0435,0.0435,0.003,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,SMOTE,Baseline,--,RF,0.5714,0.4706,0.4483,0.6386,116,116,0,116,0.005,0.0435,0.0435,0.4168,0.0351,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,SMOTE,Baseline,--,LightGBM,0.4783,0.6471,0.4797,0.6888,116,116,0,116,0.005,0.0435,0.0435,0.0277,0.0043,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,ADASYN,Baseline,--,DT,0.4762,0.5882,0.393,0.6667,101,101,0,101,0.0067,0.066,0.066,0.0029,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,ADASYN,Baseline,--,RF,0.625,0.5882,0.5067,0.714,101,101,0,101,0.0067,0.066,0.066,0.4472,0.0251,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,ADASYN,Baseline,--,LightGBM,0.55,0.6471,0.5302,0.7195,101,101,0,101,0.0067,0.066,0.066,0.0402,0.0049,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BorderlineSMOTE,Baseline,--,DT,0.4118,0.4118,0.3308,0.5659,116,116,0,116,0.0067,0.0577,0.0577,0.0032,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BorderlineSMOTE,Baseline,--,RF,0.6,0.5294,0.5279,0.6774,116,116,0,116,0.0067,0.0577,0.0577,0.5522,0.0535,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BorderlineSMOTE,Baseline,--,LightGBM,0.5556,0.5882,0.5049,0.6955,116,116,0,116,0.0067,0.0577,0.0577,0.0338,0.0042,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,KMeansSMOTE,Baseline,--,DT,0.5455,0.3529,0.3699,0.5601,116,116,0,116,0.0675,0.5816,0.5816,0.0072,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,KMeansSMOTE,Baseline,--,RF,0.6154,0.4706,0.5534,0.6468,116,116,0,116,0.0675,0.5816,0.5816,0.5801,0.0244,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,KMeansSMOTE,Baseline,--,LightGBM,0.625,0.5882,0.5308,0.714,116,116,0,116,0.0675,0.5816,0.5816,0.0714,0.0083,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,SVMSMOTE,Baseline,--,DT,0.5,0.5294,0.3937,0.6508,116,116,0,116,0.0247,0.2133,0.2133,0.0032,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,SVMSMOTE,Baseline,--,RF,0.6,0.5294,0.5235,0.6774,116,116,0,116,0.0247,0.2133,0.2133,0.8441,0.057,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,SVMSMOTE,Baseline,--,LightGBM,0.5625,0.5294,0.4874,0.6686,116,116,0,116,0.0247,0.2133,0.2133,0.1133,0.0124,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.45,0.5294,0.3673,0.6325,9,9,35,-26,0.3483,38.6968,38.6968,0.0099,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.55,0.6471,0.5511,0.7195,9,9,35,-26,0.3483,38.6968,38.6968,0.7104,0.0943,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.6667,0.7059,0.6531,0.7822,9,9,35,-26,0.3483,38.6968,38.6968,0.0485,0.008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.3913,0.5294,0.3362,0.6039,11,11,35,-24,0.2916,26.5125,26.5125,0.0108,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.5217,0.7059,0.4972,0.7303,11,11,35,-24,0.2916,26.5125,26.5125,0.8934,0.0749,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.6,0.7059,0.6149,0.7618,11,11,35,-24,0.2916,26.5125,26.5125,0.0483,0.0104,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.4,0.2353,0.3038,0.4516,1,1,0,1,0.0111,11.1237,11.1237,0.0024,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.5385,0.4118,0.4619,0.5974,1,1,0,1,0.0111,11.1237,11.1237,0.5,0.0647,success,success,42
