Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,None,None,--,not_applied,baseline_no_resampling,180,64,180,64,0,0,0,0,0.0038,,
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,SMOTE,Baseline,--,success,fit_resample,180,64,180,180,116,116,0,116,0.005,0.0435,0.0435
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,ADASYN,Baseline,--,success,fit_resample,180,64,180,165,101,101,0,101,0.0067,0.066,0.066
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,BorderlineSMOTE,Baseline,--,success,fit_resample,180,64,180,180,116,116,0,116,0.0067,0.0577,0.0577
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",180,64,180,180,116,116,0,116,0.0675,0.5816,0.5816
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,SVMSMOTE,Baseline,--,success,fit_resample,180,64,180,180,116,116,0,116,0.0247,0.2133,0.2133
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,180,64,145,73,9,9,35,-26,0.3483,38.6968,38.6968
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,180,64,145,75,11,11,35,-24,0.2916,26.5125,26.5125
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,180,64,180,65,1,1,0,1,0.0111,11.1237,11.1237
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,180,64,180,66,2,2,0,2,0.0335,16.7359,16.7359
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,180,64,145,71,7,7,35,-28,0.1363,19.4705,19.4705
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,180,64,145,71,7,7,35,-28,0.079,11.2794,11.2794
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,1,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,180,64,147,145,81,81,33,48,0.2106,2.6003,2.6003
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,None,None,--,not_applied,baseline_no_resampling,180,65,180,65,0,0,0,0,0.0017,,
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,SMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0046,0.0401,0.0401
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,ADASYN,Baseline,--,success,fit_resample,180,65,180,167,102,102,0,102,0.008,0.0783,0.0783
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,BorderlineSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0181,0.1575,0.1575
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",180,65,180,180,115,115,0,115,0.3589,3.121,3.121
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,SVMSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0152,0.1321,0.1321
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,180,65,146,74,9,9,34,-25,0.1842,20.4714,20.4714
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,180,65,146,73,8,8,34,-26,0.1823,22.792,22.792
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,180,65,180,66,1,1,0,1,0.0113,11.2774,11.2774
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,180,65,180,71,6,6,0,6,0.0309,5.1425,5.1425
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,180,65,146,66,1,1,34,-33,0.0888,88.8338,88.8338
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,180,65,146,71,6,6,34,-28,0.1784,29.7326,29.7326
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,2,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,180,65,149,146,81,81,31,50,0.0578,0.7135,0.7135
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,None,None,--,not_applied,baseline_no_resampling,180,65,180,65,0,0,0,0,0.0016,,
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,SMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0067,0.0581,0.0581
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,ADASYN,Baseline,--,success,fit_resample,180,65,180,165,100,100,0,100,0.006,0.0604,0.0604
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,BorderlineSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0061,0.0533,0.0533
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",180,65,180,180,115,115,0,115,0.249,2.1651,2.1651
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,SVMSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0801,0.6965,0.6965
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,180,65,136,73,8,8,44,-36,0.1273,15.9136,15.9136
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,180,65,136,74,9,9,44,-35,0.1373,15.261,15.261
