Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7199 ± 0.0103,0.8983 ± 0.0212,0.6775 ± 0.0130,0.8730 ± 0.0095
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7268 ± 0.0136,0.8926 ± 0.0177,0.6812 ± 0.0148,0.8732 ± 0.0093
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8069 ± 0.0062,0.8115 ± 0.0136,0.7118 ± 0.0086,0.8620 ± 0.0069
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8087 ± 0.0057,0.8123 ± 0.0188,0.7137 ± 0.0106,0.8629 ± 0.0092
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o SVM,w/o SVM,--,0.6981 ± 0.0147,0.8950 ± 0.0167,0.6565 ± 0.0152,0.8629 ± 0.0091
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7155 ± 0.0194,0.8958 ± 0.0257,0.6725 ± 0.0206,0.8701 ± 0.0129
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7130 ± 0.0084,0.8987 ± 0.0208,0.6713 ± 0.0036,0.8703 ± 0.0055
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7665 ± 0.0135,0.9249 ± 0.0139,0.9327 ± 0.0102,0.9009 ± 0.0055
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7606 ± 0.0126,0.9265 ± 0.0130,0.9313 ± 0.0092,0.8996 ± 0.0073
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8855 ± 0.0098,0.8644 ± 0.0114,0.9585 ± 0.0036,0.9069 ± 0.0057
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8846 ± 0.0090,0.8720 ± 0.0121,0.9588 ± 0.0035,0.9105 ± 0.0063
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.7345 ± 0.0151,0.9398 ± 0.0132,0.9336 ± 0.0068,0.8950 ± 0.0036
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7615 ± 0.0123,0.9233 ± 0.0122,0.9321 ± 0.0095,0.8985 ± 0.0058
CPU small,735,10 < Features <= 30,2.3072,Low,12,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7562 ± 0.0140,0.9278 ± 0.0157,0.9309 ± 0.0080,0.8984 ± 0.0064
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7631 ± 0.0175,0.9253 ± 0.0101,0.9373 ± 0.0065,0.8999 ± 0.0045
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7566 ± 0.0173,0.9277 ± 0.0134,0.9409 ± 0.0041,0.8985 ± 0.0041
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8825 ± 0.0076,0.8543 ± 0.0158,0.9520 ± 0.0033,0.9011 ± 0.0072
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8803 ± 0.0044,0.8547 ± 0.0145,0.9509 ± 0.0045,0.9009 ± 0.0072
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o SVM,w/o SVM,--,0.7332 ± 0.0144,0.9479 ± 0.0145,0.9338 ± 0.0089,0.8977 ± 0.0039
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7619 ± 0.0188,0.9237 ± 0.0101,0.9376 ± 0.0060,0.8987 ± 0.0049
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7569 ± 0.0168,0.9342 ± 0.0065,0.9400 ± 0.0044,0.9013 ± 0.0041
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.1390 ± 0.0984,0.6015 ± 0.0890,0.0831 ± 0.0386,0.7399 ± 0.0425
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.1085 ± 0.0247,0.6197 ± 0.0537,0.0727 ± 0.0149,0.7521 ± 0.0275
