Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,ADASYN,Baseline,--,0.7643 ± 0.0203,0.8397 ± 0.0134,0.6905 ± 0.0232,0.8634 ± 0.0121
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7199 ± 0.0103,0.8983 ± 0.0212,0.6775 ± 0.0130,0.8730 ± 0.0095
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7268 ± 0.0136,0.8926 ± 0.0177,0.6812 ± 0.0148,0.8732 ± 0.0093
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8069 ± 0.0062,0.8115 ± 0.0136,0.7118 ± 0.0086,0.8620 ± 0.0069
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8087 ± 0.0057,0.8123 ± 0.0188,0.7137 ± 0.0106,0.8629 ± 0.0092
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BSSMOTE w/o SVM,w/o SVM,--,0.6981 ± 0.0147,0.8950 ± 0.0167,0.6565 ± 0.0152,0.8629 ± 0.0091
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,BorderlineSMOTE,Baseline,--,0.7755 ± 0.0142,0.8228 ± 0.0084,0.6916 ± 0.0111,0.8589 ± 0.0046
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7155 ± 0.0194,0.8958 ± 0.0257,0.6725 ± 0.0206,0.8701 ± 0.0129
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7130 ± 0.0084,0.8987 ± 0.0208,0.6713 ± 0.0036,0.8703 ± 0.0055
CPU small,735,10 < Features <= 30,2.3072,Low,12,DT,KMeansSMOTE,Baseline,--,0.8122 ± 0.0128,0.8155 ± 0.0211,0.7183 ± 0.0195,0.8653 ± 0.0126
