Model,Metric,Method,Average_Rank,N_Datasets,N_Methods,Critical_Difference_0.05
DT,Precision,BSSMOTE w/o Clustering Linear,2.7143,14,13,4.8764
DT,Precision,KMeansSMOTE,3.7143,14,13,4.8764
DT,Precision,BSSMOTE w/o Clustering RBF,3.7857,14,13,4.8764
DT,Precision,None,3.7857,14,13,4.8764
DT,Precision,SVMSMOTE,5.1429,14,13,4.8764
DT,Precision,SMOTE,6.3571,14,13,4.8764
DT,Precision,BorderlineSMOTE,6.9286,14,13,4.8764
DT,Precision,ADASYN,8.0,14,13,4.8764
DT,Precision,BSSMOTE w/o ADASYN RBF,9.3571,14,13,4.8764
DT,Precision,BSSMOTE w/o ADASYN Linear,9.5714,14,13,4.8764
DT,Precision,Full BSSMOTE RBF,10.2857,14,13,4.8764
DT,Precision,Full BSSMOTE Linear,10.6429,14,13,4.8764
DT,Precision,BSSMOTE w/o SVM,10.7143,14,13,4.8764
DT,Recall,BSSMOTE w/o SVM,3.0357,14,13,4.8764
DT,Recall,Full BSSMOTE Linear,4.3214,14,13,4.8764
DT,Recall,BSSMOTE w/o ADASYN RBF,5.1429,14,13,4.8764
DT,Recall,Full BSSMOTE RBF,5.1786,14,13,4.8764
DT,Recall,BSSMOTE w/o ADASYN Linear,5.1786,14,13,4.8764
DT,Recall,SVMSMOTE,6.2143,14,13,4.8764
DT,Recall,ADASYN,6.8214,14,13,4.8764
DT,Recall,SMOTE,7.2143,14,13,4.8764
DT,Recall,BorderlineSMOTE,8.7857,14,13,4.8764
DT,Recall,BSSMOTE w/o Clustering Linear,8.9286,14,13,4.8764
DT,Recall,KMeansSMOTE,9.2143,14,13,4.8764
DT,Recall,BSSMOTE w/o Clustering RBF,10.1071,14,13,4.8764
DT,Recall,None,10.8571,14,13,4.8764
DT,AUC_PR,BSSMOTE w/o Clustering Linear,3.5714,14,13,4.8764
DT,AUC_PR,None,4.4286,14,13,4.8764
DT,AUC_PR,SVMSMOTE,4.4286,14,13,4.8764
DT,AUC_PR,KMeansSMOTE,4.5714,14,13,4.8764
DT,AUC_PR,BSSMOTE w/o Clustering RBF,5.2143,14,13,4.8764
DT,AUC_PR,SMOTE,5.8571,14,13,4.8764
DT,AUC_PR,BorderlineSMOTE,6.7143,14,13,4.8764
DT,AUC_PR,ADASYN,6.8571,14,13,4.8764
DT,AUC_PR,BSSMOTE w/o ADASYN RBF,9.2857,14,13,4.8764
DT,AUC_PR,BSSMOTE w/o SVM,9.5,14,13,4.8764
DT,AUC_PR,BSSMOTE w/o ADASYN Linear,9.8571,14,13,4.8764
DT,AUC_PR,Full BSSMOTE Linear,10.2857,14,13,4.8764
DT,AUC_PR,Full BSSMOTE RBF,10.4286,14,13,4.8764
DT,GMean,BSSMOTE w/o SVM,4.2857,14,13,4.8764
DT,GMean,Full BSSMOTE Linear,5.6429,14,13,4.8764
DT,GMean,SVMSMOTE,5.7143,14,13,4.8764
DT,GMean,Full BSSMOTE RBF,5.7857,14,13,4.8764
DT,GMean,BSSMOTE w/o ADASYN Linear,5.7857,14,13,4.8764
DT,GMean,BSSMOTE w/o ADASYN RBF,6.0714,14,13,4.8764
DT,GMean,ADASYN,6.4286,14,13,4.8764
DT,GMean,SMOTE,6.5714,14,13,4.8764
DT,GMean,BSSMOTE w/o Clustering Linear,7.7143,14,13,4.8764
DT,GMean,KMeansSMOTE,8.4286,14,13,4.8764
DT,GMean,BorderlineSMOTE,9.1429,14,13,4.8764
DT,GMean,BSSMOTE w/o Clustering RBF,9.25,14,13,4.8764
DT,GMean,None,10.1786,14,13,4.8764
RF,Precision,None,2.8929,14,13,4.8764
RF,Precision,BSSMOTE w/o Clustering RBF,4.0357,14,13,4.8764
RF,Precision,BSSMOTE w/o Clustering Linear,4.1786,14,13,4.8764
RF,Precision,KMeansSMOTE,4.6429,14,13,4.8764
RF,Precision,SMOTE,6.0714,14,13,4.8764
RF,Precision,BorderlineSMOTE,7.1786,14,13,4.8764
RF,Precision,SVMSMOTE,7.4643,14,13,4.8764
RF,Precision,ADASYN,7.8929,14,13,4.8764
RF,Precision,Full BSSMOTE RBF,8.8214,14,13,4.8764
RF,Precision,BSSMOTE w/o ADASYN Linear,9.0714,14,13,4.8764
RF,Precision,Full BSSMOTE Linear,9.2857,14,13,4.8764
RF,Precision,BSSMOTE w/o ADASYN RBF,9.2857,14,13,4.8764
