Model,Metric,Method_A,Method_B,Wilcoxon_Statistic,Raw_p_value,Holm_p_value,Significant_0.05
DT,Precision,None,SMOTE,21.0,4.943848e-02,1.000000e+00,False
DT,Precision,None,ADASYN,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,None,BorderlineSMOTE,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,None,KMeansSMOTE,27.0,1.188965e-01,1.000000e+00,False
DT,Precision,None,SVMSMOTE,22.0,5.798340e-02,1.000000e+00,False
DT,Precision,None,Full BSSMOTE Linear,1.0,2.441406e-04,1.708984e-02,True
DT,Precision,None,Full BSSMOTE RBF,1.0,2.441406e-04,1.708984e-02,True
DT,Precision,None,BSSMOTE w/o Clustering Linear,36.0,3.258057e-01,1.000000e+00,False
DT,Precision,None,BSSMOTE w/o Clustering RBF,51.0,9.515381e-01,1.000000e+00,False
DT,Precision,None,BSSMOTE w/o ADASYN Linear,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,None,BSSMOTE w/o ADASYN RBF,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,None,BSSMOTE w/o SVM,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,SMOTE,ADASYN,23.0,6.762695e-02,1.000000e+00,False
DT,Precision,SMOTE,BorderlineSMOTE,41.0,5.015869e-01,1.000000e+00,False
DT,Precision,SMOTE,KMeansSMOTE,14.0,1.342773e-02,4.699707e-01,False
DT,Precision,SMOTE,SVMSMOTE,27.0,1.188965e-01,1.000000e+00,False
DT,Precision,SMOTE,Full BSSMOTE Linear,1.0,2.441406e-04,1.708984e-02,True
DT,Precision,SMOTE,Full BSSMOTE RBF,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,SMOTE,BSSMOTE w/o Clustering Linear,14.0,1.342773e-02,4.699707e-01,False
DT,Precision,SMOTE,BSSMOTE w/o Clustering RBF,20.0,4.187012e-02,1.000000e+00,False
DT,Precision,SMOTE,BSSMOTE w/o ADASYN Linear,6.0,1.708984e-03,8.544922e-02,False
DT,Precision,SMOTE,BSSMOTE w/o ADASYN RBF,6.0,1.708984e-03,8.544922e-02,False
DT,Precision,SMOTE,BSSMOTE w/o SVM,4.0,8.544922e-04,4.699707e-02,True
DT,Precision,ADASYN,BorderlineSMOTE,25.0,9.057617e-02,1.000000e+00,False
DT,Precision,ADASYN,KMeansSMOTE,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,ADASYN,SVMSMOTE,13.0,1.074219e-02,3.974609e-01,False
DT,Precision,ADASYN,Full BSSMOTE Linear,14.0,1.342773e-02,4.699707e-01,False
DT,Precision,ADASYN,Full BSSMOTE RBF,13.0,1.074219e-02,3.974609e-01,False
DT,Precision,ADASYN,BSSMOTE w/o Clustering Linear,2.0,3.662109e-04,2.416992e-02,True
DT,Precision,ADASYN,BSSMOTE w/o Clustering RBF,4.0,8.544922e-04,4.699707e-02,True
DT,Precision,ADASYN,BSSMOTE w/o ADASYN Linear,24.0,7.849121e-02,1.000000e+00,False
DT,Precision,ADASYN,BSSMOTE w/o ADASYN RBF,26.0,1.040039e-01,1.000000e+00,False
DT,Precision,ADASYN,BSSMOTE w/o SVM,5.0,1.220703e-03,6.469727e-02,False
DT,Precision,BorderlineSMOTE,KMeansSMOTE,15.0,1.660156e-02,5.312500e-01,False
DT,Precision,BorderlineSMOTE,SVMSMOTE,32.0,2.165527e-01,1.000000e+00,False
DT,Precision,BorderlineSMOTE,Full BSSMOTE Linear,6.0,1.708984e-03,8.544922e-02,False
DT,Precision,BorderlineSMOTE,Full BSSMOTE RBF,6.0,1.708984e-03,8.544922e-02,False
DT,Precision,BorderlineSMOTE,BSSMOTE w/o Clustering Linear,6.0,1.708984e-03,8.544922e-02,False
DT,Precision,BorderlineSMOTE,BSSMOTE w/o Clustering RBF,17.0,2.453613e-02,7.115479e-01,False
DT,Precision,BorderlineSMOTE,BSSMOTE w/o ADASYN Linear,15.0,1.660156e-02,5.312500e-01,False
DT,Precision,BorderlineSMOTE,BSSMOTE w/o ADASYN RBF,15.0,1.660156e-02,5.312500e-01,False
DT,Precision,BorderlineSMOTE,BSSMOTE w/o SVM,7.0,2.319336e-03,1.020508e-01,False
DT,Precision,KMeansSMOTE,SVMSMOTE,34.0,2.675781e-01,1.000000e+00,False
DT,Precision,KMeansSMOTE,Full BSSMOTE Linear,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,KMeansSMOTE,Full BSSMOTE RBF,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,KMeansSMOTE,BSSMOTE w/o Clustering Linear,34.0,2.675781e-01,1.000000e+00,False
DT,Precision,KMeansSMOTE,BSSMOTE w/o Clustering RBF,47.0,7.608643e-01,1.000000e+00,False
DT,Precision,KMeansSMOTE,BSSMOTE w/o ADASYN Linear,1.0,2.441406e-04,1.708984e-02,True
DT,Precision,KMeansSMOTE,BSSMOTE w/o ADASYN RBF,2.0,3.662109e-04,2.416992e-02,True
DT,Precision,KMeansSMOTE,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,SVMSMOTE,Full BSSMOTE Linear,9.0,4.028320e-03,1.691895e-01,False
DT,Precision,SVMSMOTE,Full BSSMOTE RBF,5.0,1.220703e-03,6.469727e-02,False
DT,Precision,SVMSMOTE,BSSMOTE w/o Clustering Linear,12.0,8.544922e-03,3.247070e-01,False
DT,Precision,SVMSMOTE,BSSMOTE w/o Clustering RBF,24.0,7.849121e-02,1.000000e+00,False
DT,Precision,SVMSMOTE,BSSMOTE w/o ADASYN Linear,11.0,6.713867e-03,2.685547e-01,False
DT,Precision,SVMSMOTE,BSSMOTE w/o ADASYN RBF,11.0,6.713867e-03,2.685547e-01,False
DT,Precision,SVMSMOTE,BSSMOTE w/o SVM,3.0,6.103516e-04,3.784180e-02,True
DT,Precision,Full BSSMOTE Linear,Full BSSMOTE RBF,48.0,8.077393e-01,1.000000e+00,False
DT,Precision,Full BSSMOTE Linear,BSSMOTE w/o Clustering Linear,2.0,3.662109e-04,2.416992e-02,True
DT,Precision,Full BSSMOTE Linear,BSSMOTE w/o Clustering RBF,2.0,3.662109e-04,2.416992e-02,True
DT,Precision,Full BSSMOTE Linear,BSSMOTE w/o ADASYN Linear,33.0,2.412109e-01,1.000000e+00,False
DT,Precision,Full BSSMOTE Linear,BSSMOTE w/o ADASYN RBF,25.0,9.057617e-02,1.000000e+00,False
DT,Precision,Full BSSMOTE Linear,BSSMOTE w/o SVM,41.0,5.015869e-01,1.000000e+00,False
DT,Precision,Full BSSMOTE RBF,BSSMOTE w/o Clustering Linear,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,Full BSSMOTE RBF,BSSMOTE w/o Clustering RBF,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,Full BSSMOTE RBF,BSSMOTE w/o ADASYN Linear,40.0,4.631348e-01,1.000000e+00,False
DT,Precision,Full BSSMOTE RBF,BSSMOTE w/o ADASYN RBF,31.0,1.937256e-01,1.000000e+00,False
DT,Precision,Full BSSMOTE RBF,BSSMOTE w/o SVM,39.0,4.262695e-01,1.000000e+00,False
DT,Precision,BSSMOTE w/o Clustering Linear,BSSMOTE w/o Clustering RBF,18.0,2.954102e-02,8.271484e-01,False
DT,Precision,BSSMOTE w/o Clustering Linear,BSSMOTE w/o ADASYN Linear,6.0,1.708984e-03,8.544922e-02,False
DT,Precision,BSSMOTE w/o Clustering Linear,BSSMOTE w/o ADASYN RBF,5.0,1.220703e-03,6.469727e-02,False
DT,Precision,BSSMOTE w/o Clustering Linear,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,BSSMOTE w/o Clustering RBF,BSSMOTE w/o ADASYN Linear,8.0,3.051758e-03,1.312256e-01,False
DT,Precision,BSSMOTE w/o Clustering RBF,BSSMOTE w/o ADASYN RBF,9.0,4.028320e-03,1.691895e-01,False
DT,Precision,BSSMOTE w/o Clustering RBF,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Precision,BSSMOTE w/o ADASYN Linear,BSSMOTE w/o ADASYN RBF,40.0,4.631348e-01,1.000000e+00,False
DT,Precision,BSSMOTE w/o ADASYN Linear,BSSMOTE w/o SVM,36.0,3.258057e-01,1.000000e+00,False
DT,Precision,BSSMOTE w/o ADASYN RBF,BSSMOTE w/o SVM,34.0,2.675781e-01,1.000000e+00,False
DT,Recall,None,SMOTE,7.0,2.319336e-03,1.530762e-01,False
DT,Recall,None,ADASYN,17.0,2.453613e-02,1.000000e+00,False
DT,Recall,None,BorderlineSMOTE,17.0,2.453613e-02,1.000000e+00,False
DT,Recall,None,KMeansSMOTE,40.0,7.007034e-01,1.000000e+00,False
DT,Recall,None,SVMSMOTE,14.0,1.342773e-02,6.311035e-01,False
DT,Recall,None,Full BSSMOTE Linear,3.0,6.103516e-04,4.394531e-02,True
DT,Recall,None,Full BSSMOTE RBF,6.0,1.708984e-03,1.162109e-01,False
DT,Recall,None,BSSMOTE w/o Clustering Linear,3.0,2.976637e-03,1.875281e-01,False
DT,Recall,None,BSSMOTE w/o Clustering RBF,48.0,8.077393e-01,1.000000e+00,False
DT,Recall,None,BSSMOTE w/o ADASYN Linear,7.0,2.319336e-03,1.530762e-01,False
DT,Recall,None,BSSMOTE w/o ADASYN RBF,6.0,1.708984e-03,1.162109e-01,False
DT,Recall,None,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Recall,SMOTE,ADASYN,49.0,8.552246e-01,1.000000e+00,False
DT,Recall,SMOTE,BorderlineSMOTE,33.0,2.412109e-01,1.000000e+00,False
DT,Recall,SMOTE,KMeansSMOTE,16.0,3.924328e-02,1.000000e+00,False
DT,Recall,SMOTE,SVMSMOTE,52.0,1.000000e+00,1.000000e+00,False
DT,Recall,SMOTE,Full BSSMOTE Linear,21.0,4.943848e-02,1.000000e+00,False
DT,Recall,SMOTE,Full BSSMOTE RBF,23.0,6.762695e-02,1.000000e+00,False
DT,Recall,SMOTE,BSSMOTE w/o Clustering Linear,17.0,2.453613e-02,1.000000e+00,False
DT,Recall,SMOTE,BSSMOTE w/o Clustering RBF,11.0,6.713867e-03,3.692627e-01,False
DT,Recall,SMOTE,BSSMOTE w/o ADASYN Linear,22.0,1.005252e-01,1.000000e+00,False
DT,Recall,SMOTE,BSSMOTE w/o ADASYN RBF,23.0,6.762695e-02,1.000000e+00,False
DT,Recall,SMOTE,BSSMOTE w/o SVM,9.0,4.028320e-03,2.416992e-01,False
DT,Recall,ADASYN,BorderlineSMOTE,23.0,6.762695e-02,1.000000e+00,False
DT,Recall,ADASYN,KMeansSMOTE,22.0,1.005252e-01,1.000000e+00,False
DT,Recall,ADASYN,SVMSMOTE,44.0,6.257324e-01,1.000000e+00,False
DT,Recall,ADASYN,Full BSSMOTE Linear,24.0,7.849121e-02,1.000000e+00,False
DT,Recall,ADASYN,Full BSSMOTE RBF,20.0,4.187012e-02,1.000000e+00,False
DT,Recall,ADASYN,BSSMOTE w/o Clustering Linear,24.0,7.849121e-02,1.000000e+00,False
DT,Recall,ADASYN,BSSMOTE w/o Clustering RBF,5.0,4.649434e-03,2.743166e-01,False
DT,Recall,ADASYN,BSSMOTE w/o ADASYN Linear,24.0,1.329573e-01,1.000000e+00,False
DT,Recall,ADASYN,BSSMOTE w/o ADASYN RBF,21.0,4.943848e-02,1.000000e+00,False
DT,Recall,ADASYN,BSSMOTE w/o SVM,1.0,2.441406e-04,1.806641e-02,True
DT,Recall,BorderlineSMOTE,KMeansSMOTE,34.0,2.675781e-01,1.000000e+00,False
DT,Recall,BorderlineSMOTE,SVMSMOTE,37.0,3.575439e-01,1.000000e+00,False
DT,Recall,BorderlineSMOTE,Full BSSMOTE Linear,10.0,1.310361e-02,6.289735e-01,False
DT,Recall,BorderlineSMOTE,Full BSSMOTE RBF,12.0,8.544922e-03,4.528809e-01,False
DT,Recall,BorderlineSMOTE,BSSMOTE w/o Clustering Linear,37.0,5.524933e-01,1.000000e+00,False
DT,Recall,BorderlineSMOTE,BSSMOTE w/o Clustering RBF,27.0,1.188965e-01,1.000000e+00,False
DT,Recall,BorderlineSMOTE,BSSMOTE w/o ADASYN Linear,15.0,1.660156e-02,7.470703e-01,False
DT,Recall,BorderlineSMOTE,BSSMOTE w/o ADASYN RBF,14.0,1.342773e-02,6.311035e-01,False
DT,Recall,BorderlineSMOTE,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Recall,KMeansSMOTE,SVMSMOTE,13.0,1.074219e-02,5.478516e-01,False
DT,Recall,KMeansSMOTE,Full BSSMOTE Linear,10.0,5.249023e-03,2.991943e-01,False
DT,Recall,KMeansSMOTE,Full BSSMOTE RBF,11.0,6.713867e-03,3.692627e-01,False
DT,Recall,KMeansSMOTE,BSSMOTE w/o Clustering Linear,34.0,4.215789e-01,1.000000e+00,False
DT,Recall,KMeansSMOTE,BSSMOTE w/o Clustering RBF,33.0,3.823521e-01,1.000000e+00,False
DT,Recall,KMeansSMOTE,BSSMOTE w/o ADASYN Linear,12.0,1.922344e-02,8.458313e-01,False
DT,Recall,KMeansSMOTE,BSSMOTE w/o ADASYN RBF,13.0,1.074219e-02,5.478516e-01,False
DT,Recall,KMeansSMOTE,BSSMOTE w/o SVM,3.0,6.103516e-04,4.394531e-02,True
DT,Recall,SVMSMOTE,Full BSSMOTE Linear,27.0,1.188965e-01,1.000000e+00,False
DT,Recall,SVMSMOTE,Full BSSMOTE RBF,22.0,1.005252e-01,1.000000e+00,False
DT,Recall,SVMSMOTE,BSSMOTE w/o Clustering Linear,13.0,2.312980e-02,9.945815e-01,False
DT,Recall,SVMSMOTE,BSSMOTE w/o Clustering RBF,2.0,3.662109e-04,2.673340e-02,True
DT,Recall,SVMSMOTE,BSSMOTE w/o ADASYN Linear,29.0,1.530762e-01,1.000000e+00,False
DT,Recall,SVMSMOTE,BSSMOTE w/o ADASYN RBF,30.0,1.726074e-01,1.000000e+00,False
DT,Recall,SVMSMOTE,BSSMOTE w/o SVM,10.0,5.249023e-03,2.991943e-01,False
DT,Recall,Full BSSMOTE Linear,Full BSSMOTE RBF,38.0,3.909912e-01,1.000000e+00,False
DT,Recall,Full BSSMOTE Linear,BSSMOTE w/o Clustering Linear,8.0,3.051758e-03,1.892090e-01,False
DT,Recall,Full BSSMOTE Linear,BSSMOTE w/o Clustering RBF,4.0,8.544922e-04,5.981445e-02,False
DT,Recall,Full BSSMOTE Linear,BSSMOTE w/o ADASYN Linear,37.0,3.575439e-01,1.000000e+00,False
DT,Recall,Full BSSMOTE Linear,BSSMOTE w/o ADASYN RBF,21.0,1.577794e-01,1.000000e+00,False
DT,Recall,Full BSSMOTE Linear,BSSMOTE w/o SVM,39.0,4.262695e-01,1.000000e+00,False
DT,Recall,Full BSSMOTE RBF,BSSMOTE w/o Clustering Linear,8.0,3.051758e-03,1.892090e-01,False
DT,Recall,Full BSSMOTE RBF,BSSMOTE w/o Clustering RBF,4.0,8.544922e-04,5.981445e-02,False
DT,Recall,Full BSSMOTE RBF,BSSMOTE w/o ADASYN Linear,46.0,7.148438e-01,1.000000e+00,False
DT,Recall,Full BSSMOTE RBF,BSSMOTE w/o ADASYN RBF,37.0,5.524933e-01,1.000000e+00,False
DT,Recall,Full BSSMOTE RBF,BSSMOTE w/o SVM,22.0,1.005252e-01,1.000000e+00,False
DT,Recall,BSSMOTE w/o Clustering Linear,BSSMOTE w/o Clustering RBF,22.0,5.798340e-02,1.000000e+00,False
DT,Recall,BSSMOTE w/o Clustering Linear,BSSMOTE w/o ADASYN Linear,12.0,8.544922e-03,4.528809e-01,False
DT,Recall,BSSMOTE w/o Clustering Linear,BSSMOTE w/o ADASYN RBF,13.0,1.074219e-02,5.478516e-01,False
DT,Recall,BSSMOTE w/o Clustering Linear,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Recall,BSSMOTE w/o Clustering RBF,BSSMOTE w/o ADASYN Linear,5.0,4.649434e-03,2.743166e-01,False
DT,Recall,BSSMOTE w/o Clustering RBF,BSSMOTE w/o ADASYN RBF,7.0,2.319336e-03,1.530762e-01,False
DT,Recall,BSSMOTE w/o Clustering RBF,BSSMOTE w/o SVM,0.0,1.220703e-04,9.521484e-03,True
DT,Recall,BSSMOTE w/o ADASYN Linear,BSSMOTE w/o ADASYN RBF,39.0,6.496440e-01,1.000000e+00,False
DT,Recall,BSSMOTE w/o ADASYN Linear,BSSMOTE w/o SVM,29.0,1.530762e-01,1.000000e+00,False
DT,Recall,BSSMOTE w/o ADASYN RBF,BSSMOTE w/o SVM,34.0,2.675781e-01,1.000000e+00,False
DT,AUC_PR,None,SMOTE,32.0,2.165527e-01,1.000000e+00,False
DT,AUC_PR,None,ADASYN,21.0,4.943848e-02,1.000000e+00,False
DT,AUC_PR,None,BorderlineSMOTE,7.0,2.319336e-03,1.298828e-01,False
DT,AUC_PR,None,KMeansSMOTE,46.0,7.148438e-01,1.000000e+00,False
DT,AUC_PR,None,SVMSMOTE,43.0,5.830078e-01,1.000000e+00,False
DT,AUC_PR,None,Full BSSMOTE Linear,2.0,3.662109e-04,2.746582e-02,True
DT,AUC_PR,None,Full BSSMOTE RBF,2.0,3.662109e-04,2.746582e-02,True
DT,AUC_PR,None,BSSMOTE w/o Clustering Linear,29.0,1.530762e-01,1.000000e+00,False
DT,AUC_PR,None,BSSMOTE w/o Clustering RBF,44.0,6.257324e-01,1.000000e+00,False
DT,AUC_PR,None,BSSMOTE w/o ADASYN Linear,6.0,1.708984e-03,1.042480e-01,False
DT,AUC_PR,None,BSSMOTE w/o ADASYN RBF,6.0,1.708984e-03,1.042480e-01,False
DT,AUC_PR,None,BSSMOTE w/o SVM,10.0,5.249023e-03,2.572021e-01,False
DT,AUC_PR,SMOTE,ADASYN,30.0,1.726074e-01,1.000000e+00,False
DT,AUC_PR,SMOTE,BorderlineSMOTE,52.0,1.000000e+00,1.000000e+00,False
DT,AUC_PR,SMOTE,KMeansSMOTE,31.0,1.937256e-01,1.000000e+00,False
DT,AUC_PR,SMOTE,SVMSMOTE,25.0,9.057617e-02,1.000000e+00,False
DT,AUC_PR,SMOTE,Full BSSMOTE Linear,2.0,3.662109e-04,2.746582e-02,True
DT,AUC_PR,SMOTE,Full BSSMOTE RBF,1.0,2.441406e-04,1.879883e-02,True
DT,AUC_PR,SMOTE,BSSMOTE w/o Clustering Linear,24.0,7.849121e-02,1.000000e+00,False
DT,AUC_PR,SMOTE,BSSMOTE w/o Clustering RBF,47.0,7.608643e-01,1.000000e+00,False
DT,AUC_PR,SMOTE,BSSMOTE w/o ADASYN Linear,3.0,6.103516e-04,4.272461e-02,True
DT,AUC_PR,SMOTE,BSSMOTE w/o ADASYN RBF,5.0,1.220703e-03,7.934570e-02,False
DT,AUC_PR,SMOTE,BSSMOTE w/o SVM,13.0,1.074219e-02,4.833984e-01,False
DT,AUC_PR,ADASYN,BorderlineSMOTE,34.0,2.675781e-01,1.000000e+00,False
DT,AUC_PR,ADASYN,KMeansSMOTE,17.0,2.453613e-02,9.569092e-01,False
DT,AUC_PR,ADASYN,SVMSMOTE,19.0,3.527832e-02,1.000000e+00,False
DT,AUC_PR,ADASYN,Full BSSMOTE Linear,15.0,1.660156e-02,6.972656e-01,False
DT,AUC_PR,ADASYN,Full BSSMOTE RBF,19.0,3.527832e-02,1.000000e+00,False
DT,AUC_PR,ADASYN,BSSMOTE w/o Clustering Linear,17.0,2.453613e-02,9.569092e-01,False
DT,AUC_PR,ADASYN,BSSMOTE w/o Clustering RBF,33.0,2.412109e-01,1.000000e+00,False
DT,AUC_PR,ADASYN,BSSMOTE w/o ADASYN Linear,23.0,6.762695e-02,1.000000e+00,False
DT,AUC_PR,ADASYN,BSSMOTE w/o ADASYN RBF,27.0,1.188965e-01,1.000000e+00,False
DT,AUC_PR,ADASYN,BSSMOTE w/o SVM,11.0,6.713867e-03,3.222656e-01,False
DT,AUC_PR,BorderlineSMOTE,KMeansSMOTE,28.0,1.352539e-01,1.000000e+00,False
DT,AUC_PR,BorderlineSMOTE,SVMSMOTE,30.0,1.726074e-01,1.000000e+00,False
DT,AUC_PR,BorderlineSMOTE,Full BSSMOTE Linear,8.0,3.051758e-03,1.678467e-01,False
DT,AUC_PR,BorderlineSMOTE,Full BSSMOTE RBF,8.0,3.051758e-03,1.678467e-01,False
DT,AUC_PR,BorderlineSMOTE,BSSMOTE w/o Clustering Linear,8.0,3.051758e-03,1.678467e-01,False
DT,AUC_PR,BorderlineSMOTE,BSSMOTE w/o Clustering RBF,33.0,2.412109e-01,1.000000e+00,False
DT,AUC_PR,BorderlineSMOTE,BSSMOTE w/o ADASYN Linear,9.0,4.028320e-03,2.014160e-01,False
DT,AUC_PR,BorderlineSMOTE,BSSMOTE w/o ADASYN RBF,14.0,1.342773e-02,5.773926e-01,False
DT,AUC_PR,BorderlineSMOTE,BSSMOTE w/o SVM,16.0,2.026367e-02,8.308105e-01,False
DT,AUC_PR,KMeansSMOTE,SVMSMOTE,49.0,8.552246e-01,1.000000e+00,False
DT,AUC_PR,KMeansSMOTE,Full BSSMOTE Linear,1.0,2.441406e-04,1.879883e-02,True
DT,AUC_PR,KMeansSMOTE,Full BSSMOTE RBF,0.0,1.220703e-04,9.521484e-03,True
DT,AUC_PR,KMeansSMOTE,BSSMOTE w/o Clustering Linear,36.0,3.258057e-01,1.000000e+00,False
DT,AUC_PR,KMeansSMOTE,BSSMOTE w/o Clustering RBF,34.0,2.675781e-01,1.000000e+00,False
DT,AUC_PR,KMeansSMOTE,BSSMOTE w/o ADASYN Linear,3.0,6.103516e-04,4.272461e-02,True
DT,AUC_PR,KMeansSMOTE,BSSMOTE w/o ADASYN RBF,3.0,6.103516e-04,4.272461e-02,True
DT,AUC_PR,KMeansSMOTE,BSSMOTE w/o SVM,11.0,6.713867e-03,3.222656e-01,False
DT,AUC_PR,SVMSMOTE,Full BSSMOTE Linear,2.0,3.662109e-04,2.746582e-02,True
