Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,ADASYN,Baseline,--,DT,0.3443,0.0171,0.4273,0.1085,0.3,0.0229,0.5571,0.0571,309.0,7.1414,0.0051,0.0008,0.0165,0.0028,0.0036,0.0001
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,ADASYN,Baseline,--,LightGBM,0.3798,0.0759,0.4544,0.076,0.3861,0.0432,0.5875,0.0599,309.0,7.1414,0.0051,0.0008,0.0165,0.0028,0.0387,0.0008
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,ADASYN,Baseline,--,RF,0.3882,0.0469,0.4833,0.0268,0.3853,0.0392,0.6048,0.0237,309.0,7.1414,0.0051,0.0008,0.0165,0.0028,0.2336,0.0089
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.3228,0.0461,0.3936,0.1115,0.2889,0.0321,0.532,0.0664,15.0,0.0,0.1202,0.1886,8.0134,12.5761,0.0024,0.0002
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.409,0.0959,0.4436,0.1196,0.4427,0.0866,0.5868,0.0853,15.0,0.0,0.1202,0.1886,8.0134,12.5761,0.0235,0.0063
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.3812,0.0598,0.427,0.08,0.4314,0.0619,0.5739,0.0518,15.0,0.0,0.1202,0.1886,8.0134,12.5761,0.1964,0.0562
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.339,0.0401,0.4277,0.1219,0.2988,0.0274,0.5542,0.0632,15.0,1.2247,0.1215,0.1757,7.7876,10.8717,0.0024,0.0005
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.4262,0.1018,0.4605,0.1336,0.442,0.0751,0.6005,0.0945,15.0,1.2247,0.1215,0.1757,7.7876,10.8717,0.0235,0.0055
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.3813,0.0578,0.4327,0.0759,0.433,0.0636,0.5764,0.0471,15.0,1.2247,0.1215,0.1757,7.7876,10.8717,0.2001,0.0578
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.4023,0.0659,0.326,0.0925,0.3164,0.0298,0.5188,0.0641,18.4,10.3586,0.0116,0.0023,0.9492,0.8274,0.003,0.0008
