Feature_Interval,Feature_Interval_Order,Dataset,Oversampler,Avg_Synthetic_Generated,Avg_Total_Time_s,Avg_Time_per_sample_ms,Success_Rate
Features <= 10,1,Blood-transfusion,ADASYN,309.0,0.0051,0.0165,1.0
Features <= 10,1,Blood-transfusion,BSSMOTE w/o ADASYN Linear,15.0,0.1202,8.0134,1.0
Features <= 10,1,Blood-transfusion,BSSMOTE w/o ADASYN RBF,15.0,0.1215,7.7876,1.0
Features <= 10,1,Blood-transfusion,BSSMOTE w/o Clustering Linear,18.4,0.0116,0.9492,1.0
Features <= 10,1,Blood-transfusion,BSSMOTE w/o Clustering RBF,8.6,0.0242,4.0527,1.0
Features <= 10,1,Blood-transfusion,BSSMOTE w/o SVM,192.0,0.1157,0.5733,1.0
Features <= 10,1,Blood-transfusion,BorderlineSMOTE,313.6,0.0048,0.0153,1.0
Features <= 10,1,Blood-transfusion,Full BSSMOTE Linear,20.8,0.0403,1.9502,1.0
Features <= 10,1,Blood-transfusion,Full BSSMOTE RBF,19.8,0.0667,3.458,1.0
Features <= 10,1,Blood-transfusion,KMeansSMOTE,313.6,0.0251,0.08,1.0
Features <= 10,1,Blood-transfusion,None,0.0,0.001,,1.0
Features <= 10,1,Blood-transfusion,SMOTE,313.6,0.0034,0.0109,1.0
Features <= 10,1,Blood-transfusion,SVMSMOTE,313.6,0.0166,0.0529,1.0
Features <= 10,1,Haberman,ADASYN,106.6,0.0069,0.065,1.0
Features <= 10,1,Haberman,BSSMOTE w/o ADASYN Linear,5.8,0.119,32.2337,1.0
Features <= 10,1,Haberman,BSSMOTE w/o ADASYN RBF,7.0,0.1017,16.4985,1.0
Features <= 10,1,Haberman,BSSMOTE w/o Clustering Linear,3.2,0.0117,6.1973,1.0
Features <= 10,1,Haberman,BSSMOTE w/o Clustering RBF,8.0,0.0243,5.4968,1.0
Features <= 10,1,Haberman,BSSMOTE w/o SVM,73.4,0.0878,1.1813,1.0
Features <= 10,1,Haberman,BorderlineSMOTE,115.2,0.0086,0.0751,1.0
Features <= 10,1,Haberman,Full BSSMOTE Linear,8.0,0.197,24.965,1.0
Features <= 10,1,Haberman,Full BSSMOTE RBF,7.4,0.1685,22.911,1.0
Features <= 10,1,Haberman,KMeansSMOTE,115.2,0.145,1.2598,1.0
Features <= 10,1,Haberman,None,0.0,0.0026,,1.0
